time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	° 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	mm 	
2.3000	34.9963	0.0001	0.0000	0.0000	-0.0030	0.0116	0.0031	-0.0261	0.0201	-0.0012	1.2594	0.2876	-0.2477	-0.4753	-0.2811	0.5380	-0.0634
2.3250	34.9963	0.0001	0.0000	0.0000	-0.0484	0.0667	-0.0050	-0.1812	0.0844	0.2306	-0.8773	-0.0228	0.6047	-0.1937	-0.2664	-0.4139	0.3703
2.3500	34.9963	0.0001	0.0000	0.0000	0.0085	0.0549	-0.0144	-0.1008	0.1178	0.0452	0.6145	1.1406	0.8267	0.9813	0.6442	-0.9605	0.4682
2.3750	34.9963	0.0001	0.0000	0.0000	-0.0155	-0.0314	0.0008	0.0470	-0.0780	0.0701	-0.1284	-0.7731	-0.3099	-0.0625	0.5364	-0.1736	-0.0587
2.4000	34.9963	0.0001	0.0000	0.0000	0.0212	0.0013	-0.0108	0.0186	0.0238	0.2842	1.4468	0.3038	-0.4431	-0.1548	-0.0412	-0.2961	0.7666
2.4250	34.9963	0.0001	0.0000	0.0000	-0.0498	-0.0315	-0.0004	0.0129	-0.1125	-0.3580	-0.5007	-0.4659	0.9599	-0.1014	-0.1636	-0.7532	0.0998
2.4500	34.9963	0.0001	0.0000	0.0000	0.0167	0.0030	0.0132	0.0107	0.0226	-0.0690	0.2978	1.3901	-0.2034	1.0687	0.4680	-0.2254	-0.4691
2.4750	34.9963	0.0001	0.0000	0.0000	-0.0135	-0.0397	-0.0099	0.0655	-0.0925	-0.1617	-0.5798	-0.0945	1.2085	-0.1742	-0.4672	-0.4233	-0.1333
2.5000	34.9963	0.0001	0.0000	0.0000	0.0243	0.0604	-0.0045	-0.0958	0.1445	0.4269	0.2427	-0.6317	1.4571	-0.2956	0.0518	0.5756	-0.2639
2.5250	34.9963	0.0001	0.0000	0.0000	0.0029	0.0194	-0.0128	-0.0356	0.0415	-0.2973	-0.2714	-0.9142	-1.2689	0.3065	-0.1587	0.5709	-0.1287
2.5500	34.9963	0.0001	0.0000	0.0000	0.0286	0.0094	0.0107	0.0100	0.0473	-0.0690	0.3176	1.6063	2.0698	-0.3393	-0.2664	-0.1594	-0.1287
2.5750	34.9963	0.0001	0.0000	0.0000	0.0120	0.0399	0.0014	-0.0675	0.0915	0.1985	-0.8120	-0.3799	-0.2389	0.2530	-0.3986	0.5050	0.5055
2.6000	34.9963	0.0001	0.0000	0.0000	0.0059	-0.0435	0.0125	0.0924	-0.0805	0.2985	1.0624	0.5709	-0.3010	-0.1451	-0.8099	0.0573	0.0299
2.6250	34.9963	0.0001	0.0000	0.0000	0.0309	-0.0102	0.0130	0.0511	0.0106	0.4483	0.2604	-1.1762	0.7379	-0.0140	0.3897	0.5003	0.1231
2.6500	34.9963	0.0001	0.0000	0.0000	0.0063	-0.0747	-0.0063	0.1549	-0.1422	-0.0654	0.6373	0.8538	1.1818	-0.2228	0.4631	0.4767	-0.0681
2.6750	34.9963	0.0001	0.0000	0.0000	-0.0210	0.0415	-0.0130	-0.1035	0.0615	-0.1582	-1.1098	0.1131	0.6668	-0.0577	0.2917	0.2646	0.3283
2.7000	34.9963	0.0001	0.0000	0.0000	-0.0489	0.0408	-0.0133	-0.1300	0.0322	0.2984	0.9998	0.8463	-0.7894	-0.1937	0.1742	0.1233	0.4402
2.7250	34.9963	0.0001	0.0000	0.0000	0.0277	-0.0204	0.0065	0.0683	-0.0130	-0.1760	0.0911	-0.9217	-1.4820	-0.0383	-0.2763	-0.8239	0.1418
2.7500	34.9963	0.0001	0.0000	0.0000	-0.0109	-0.0031	-0.0050	-0.0047	-0.0171	-0.1082	1.1232	0.3499	1.0220	-0.4218	0.0273	-0.2113	0.0812
2.7750	34.9963	0.0001	0.0000	0.0000	0.0291	-0.0624	0.0098	0.1532	-0.0950	-0.1118	-0.9834	0.3504	0.5070	-0.0966	-0.0168	0.4249	-0.1007
2.8000	34.9963	0.0001	0.0000	0.0000	-0.0019	-0.0177	-0.0101	0.0333	-0.0370	-0.3187	0.1761	0.5953	1.2173	-0.3539	-0.0216	-0.8145	-0.1940
2.8250	34.9963	0.0001	0.0000	0.0000	-0.0388	0.0581	0.0005	-0.1543	0.0767	-0.1760	-0.0844	-0.4766	1.3950	-0.3733	-0.0755	0.0762	0.4542
2.8500	34.9963	0.0001	0.0000	0.0000	-0.0061	0.0206	-0.0090	-0.0470	0.0349	0.2842	1.1738	0.0343	-1.5708	-0.6209	0.5071	0.4767	0.0485
2.8750	34.9963	0.0001	0.0000	0.0000	0.0485	0.0459	0.0065	-0.0429	0.1398	-0.3259	-0.9060	0.0333	0.0186	0.3210	0.5023	0.4955	0.2117
2.9000	34.9963	0.0001	0.0000	0.0000	-0.0056	-0.0268	0.0055	0.0477	-0.0588	0.1665	0.1950	0.8389	0.7645	0.0685	-0.3154	0.0055	-0.0168
2.9250	34.9963	0.0001	0.0000	0.0000	0.0590	-0.0026	0.0080	0.0642	0.0537	0.0952	-0.0903	-0.7073	-0.8782	0.1317	-0.2125	0.0102	-0.1193
2.9500	34.9963	0.0001	0.0000	0.0000	0.0083	-0.0800	0.0065	0.1675	-0.1509	0.0738	0.5359	-0.5671	0.9244	-0.1499	-0.2468	0.5191	-0.5297
2.9750	34.9963	0.0001	0.0000	0.0000	0.0019	-0.0412	-0.0109	0.0838	-0.0800	-0.2082	-0.1619	0.2617	-0.6918	0.3939	0.1790	-0.1783	-0.4178
3.0000	34.9963	0.0001	0.0000	0.0000	-0.0245	0.0773	-0.0080	-0.1782	0.1293	-0.1367	-0.6661	0.4950	-0.6385	0.0249	0.7764	0.2599	-0.1893
3.0250	34.9963	0.0001	0.0000	0.0000	-0.0385	-0.0066	-0.0092	-0.0254	-0.0516	-0.2153	0.0106	0.3197	-0.3188	-0.3976	0.2476	0.1940	-0.2126
3.0500	34.9963	0.0001	0.0000	0.0000	-0.0006	0.0177	-0.0029	-0.0358	0.0347	-0.3223	1.4796	0.5329	0.1163	-0.3344	-0.0168	-0.0369	0.0019
3.0750	34.9963	0.0001	0.0000	0.0000	-0.0318	-0.0878	-0.0033	0.1430	-0.2066	-0.1332	-0.1934	-0.8372	1.0664	-0.0383	-0.1146	0.6699	0.2350
3.1000	34.9963	0.0001	0.0000	0.0000	0.0399	-0.0305	0.0084	0.1006	-0.0207	-0.3829	0.2553	1.4604	-0.7094	0.2627	0.0028	-0.2961	0.1698
3.1250	34.9963	0.0001	0.0000	0.0000	-0.0306	-0.0294	0.0130	0.0279	-0.0892	0.2557	-0.5934	-0.5014	0.8000	0.0103	-0.0363	-0.2113	-0.8794
3.1500	34.9963	0.0001	0.0000	0.0000	0.0251	0.0447	-0.0038	-0.0639	0.1142	0.3626	0.2031	-1.0642	0.4626	0.5831	0.6883	0.7123	0.1511
3.1750	34.9963	0.0001	0.0000	0.0000	-0.0080	0.0693	-0.0080	-0.1460	0.1299	0.1771	1.4943	0.4913	-0.0702	-0.0771	-0.4182	-0.2302	0.0439
3.2000	34.9963	0.0001	0.0000	0.0000	-0.0110	-0.0167	-0.0039	0.0221	-0.0441	0.0987	-0.9078	0.0878	0.8000	0.1656	0.4484	0.6039	-0.0121
3.2250	34.9963	0.0001	0.0000	0.0000	0.0349	-0.0069	-0.0031	0.0486	0.0212	-0.0832	0.5105	1.0379	0.9687	-0.2665	0.2428	-0.2772	-0.3059
3.2500	34.9963	0.0001	0.0000	0.0000	-0.1040	-0.0299	0.0061	-0.0445	-0.1636	-0.1154	1.2184	0.7248	-0.5141	-0.5092	-0.2910	-0.3432	-0.2546
3.2750	34.9963	0.0001	0.0000	0.0000	0.0269	-0.0079	0.0050	0.0427	0.0111	-0.1082	1.4745	0.2751	-1.9704	0.3550	0.2966	0.2788	-0.3572
