time 	x0 	y0 	psi 	u 	v 	heave 	trim 	roll 	z_VF 	z_VA 	n 	T_p 	Qp 	drud 	Xrud 	Yrud 	Qrud 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm/m 	° 	mm 	mm 	rps 	N 	Nmm 	° 	N 	N 	Nmm 	mm 	mm 	mm 	mm 	mm 	
1.8750	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.1638	0.9266	0.3344	-2.0078	1.6802	-0.0037	-0.0524	-0.0376	0.0575	-0.0171	-0.0191	0.5628	0.5836	-0.2417	0.5241	0.5511	0.1734
1.9000	9.9980	0.0001	0.0000	-0.0040	-0.0000	-0.1115	-0.7309	-0.5678	1.3430	-1.5659	0.0073	-0.0513	-0.2524	0.0255	0.0234	-0.0178	0.3503	-1.6096	-0.7273	-0.2935	-1.0228	0.7423
1.9250	9.9979	0.0001	0.0000	0.0040	-0.0000	-1.0955	-0.2324	-0.3015	-0.6331	-1.5579	0.0036	0.0099	-1.2505	0.0300	0.0166	-0.0328	-0.5381	0.1130	0.1370	0.2793	0.6077	-0.0178
1.9500	9.9980	0.0001	0.0000	0.0000	-0.0000	0.4375	0.1413	0.0999	0.1562	0.7187	-0.0037	-0.0163	1.4406	0.0163	-0.0171	0.0195	-0.3419	0.7523	0.5400	-0.3865	-0.5421	-0.7965
1.9750	9.9980	0.0001	0.0000	0.0000	-0.0000	1.0479	0.6540	0.1913	-0.2535	2.3493	0.0164	0.0263	1.1247	0.0804	-0.0071	-0.0162	-0.4509	-1.1035	-0.6933	-0.1320	-0.4856	-0.5074
2.0000	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.1480	-0.0344	0.5649	-0.0795	-0.2165	0.0207	0.0525	0.5309	-0.0860	0.0127	-0.0168	-0.5436	-0.5529	-0.5525	0.1814	0.1836	-0.5028
2.0250	9.9980	0.0001	0.0000	0.0000	-0.0000	-1.6218	0.3878	0.3781	-2.3936	-0.8501	-0.0110	0.0321	-0.3409	-0.0891	-0.0178	-0.0136	-0.3201	-0.9436	-0.1446	-0.7439	-0.4808	-0.0784
2.0500	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.4174	-0.2702	-0.5718	0.9552	-0.1203	-0.0128	0.0484	-0.3156	-0.0799	-0.0288	-0.0296	-0.4291	-1.7694	0.5837	0.6318	-1.3008	0.0148
2.0750	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.2229	0.1262	0.5371	-0.4741	0.0282	-0.0024	-0.0303	-1.1495	-0.0494	0.0374	-0.0066	-0.4073	1.8179	0.5351	0.5437	-0.7636	0.2340
2.1000	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.1922	-0.0009	-0.5559	0.1939	0.1905	-0.0128	-0.0163	-0.1892	0.0575	-0.0009	-0.0156	-0.4019	-0.7838	-0.3194	-0.8566	0.3862	0.6164
