time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
6.2000	0.0030	0.0000	0.0000	0.0000	-0.0125	0.0320	0.0310	-0.0762	0.0512	-0.0077	-0.5562	-0.1862	1.7110	0.3779	-0.0692	-0.0590
6.2500	0.0030	0.0000	0.0000	0.0000	-0.0459	-0.0079	-0.0526	-0.0303	-0.0616	0.0815	-1.1980	-1.4941	0.3701	-0.5009	0.0484	-0.2758
6.3000	0.0030	0.0000	0.0000	0.0000	-0.0770	-0.0188	0.0152	-0.0395	-0.1144	0.2884	-0.1472	0.4423	0.6809	0.0915	-0.2111	0.3793
6.3500	0.0030	0.0000	0.0000	0.0000	-0.0900	-0.0184	0.0004	-0.0535	-0.1266	0.2991	1.1474	0.6522	-0.4823	0.5965	-0.4657	0.6667
6.4000	0.0030	0.0000	0.0000	0.0000	0.0354	0.0486	0.0294	-0.0613	0.1320	-0.5821	0.4440	0.8291	1.3291	0.1157	0.1806	0.7562
6.4500	0.0030	0.0000	0.0000	0.0000	-0.0394	-0.0055	0.0223	-0.0285	-0.0502	0.1279	-0.5914	-0.7549	0.0327	-0.2436	0.1707	-0.0778
6.5000	0.0030	0.0000	0.0000	0.0000	0.0305	0.0141	0.0119	0.0024	0.0586	0.2385	-0.4387	-0.9133	1.6310	-0.3843	-0.0006	-0.9967
6.5500	0.0030	0.0000	0.0000	0.0000	-0.0234	0.0383	-0.0089	-0.0997	0.0528	0.3384	0.2593	0.7312	-0.6421	0.1692	-0.9162	0.0258
6.6000	0.0030	0.0000	0.0000	0.0000	-0.0408	0.0413	-0.0253	-0.1231	0.0415	-0.2503	-0.2227	-0.9531	0.0505	0.0721	0.0876	0.5865
6.6500	0.0030	0.0000	0.0000	0.0000	0.0330	0.0604	0.0113	-0.0872	0.1531	0.0957	0.1553	0.6285	0.5744	-0.1804	0.4351	0.2425
6.7000	0.0030	0.0000	0.0000	0.0000	-0.0335	-0.0168	0.0277	0.0000	-0.0669	-0.3930	-0.3450	-0.9052	0.2547	-0.2193	-0.3776	0.3509
6.7500	0.0030	0.0000	0.0000	0.0000	0.0326	0.0514	-0.0477	-0.0697	0.1348	0.0387	0.4005	0.9268	-1.2281	-0.4571	0.3176	0.3274
6.8000	0.0030	0.0000	0.0000	0.0000	0.0015	0.0122	-0.0285	-0.0229	0.0258	-0.2075	0.9926	0.0497	-0.4823	0.0090	0.2736	0.1388
6.8500	0.0030	0.0000	0.0000	0.0000	0.0312	-0.0003	0.0037	0.0319	0.0305	-0.3110	-0.8467	-0.3323	-1.0594	0.3343	0.1023	0.4405
6.9000	0.0030	0.0000	0.0000	0.0000	0.0191	-0.0201	0.0479	0.0591	-0.0210	0.0065	-0.7277	-1.9292	0.4944	0.0139	0.2932	0.3650
6.9500	0.0030	0.0000	0.0000	0.0000	-0.0316	0.0130	-0.0537	-0.0574	-0.0057	-0.2146	0.1450	0.5340	-0.5266	-0.3407	0.7093	0.3603
7.0000	0.0030	0.0000	0.0000	0.0000	0.0032	0.0088	-0.0203	-0.0144	0.0208	0.3027	1.2476	0.0484	0.6721	-0.7242	0.0728	0.2284
7.0500	0.0030	0.0000	0.0000	0.0000	0.0199	0.0052	-0.0007	0.0096	0.0302	-0.3180	-0.3833	0.6871	0.0239	0.4217	0.2834	-0.5633
7.1000	0.0030	0.0000	0.0000	0.0000	0.0561	-0.0182	0.0348	0.0923	0.0200	0.1564	-0.1359	-1.1483	-0.1005	0.2129	-0.1719	-0.3842
7.1500	0.0030	0.0000	0.0000	0.0000	0.0022	-0.0158	-0.0619	0.0336	-0.0292	-0.0041	-1.8810	-0.7069	-1.5833	0.4071	-0.1915	-0.1438
7.2000	0.0030	0.0000	0.0000	0.0000	-0.0216	-0.0392	-0.0263	0.0565	-0.0997	0.3990	0.8665	0.6278	0.4856	0.0186	-0.6468	-0.3936
7.2500	0.0030	0.0000	0.0000	0.0000	-0.0206	-0.0804	0.0168	0.1394	-0.1806	-0.2146	-0.7217	-0.4619	1.2403	-0.5203	0.5624	0.3509
7.3000	0.0030	0.0000	0.0000	0.0000	0.0135	-0.0132	0.0425	0.0397	-0.0127	0.1314	-0.2441	0.1218	0.5211	0.3828	0.6555	0.5347
7.3500	0.0030	0.0000	0.0000	0.0000	0.0245	-0.0284	-0.0395	0.0810	-0.0320	0.0672	-0.0986	-1.0555	1.4712	0.3974	0.1218	0.0635
7.4000	0.0030	0.0000	0.0000	0.0000	-0.0004	0.0351	-0.0362	-0.0703	0.0695	-0.1540	-1.5061	-1.0957	1.3202	0.5965	-0.3041	-0.4502
