time 	x0 	y0 	psi 	u 	v 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm 	mm 	mm 	mm 	
3.7250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.5843	-0.6401	-0.0179	0.5167	1.5028
3.7500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.2058	-0.6110	-0.1745	0.2152	-1.3231
3.7750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.9430	0.1367	0.0801	0.1398	0.7380
3.8000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.9430	0.1610	0.5158	0.0125	-0.1619
3.8250	14.9979	0.0001	0.0000	0.0000	-0.0000	1.8451	0.3843	-0.9823	-0.2985	-1.5142
3.8500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4457	0.1561	0.8389	-0.1383	-0.0360
3.8750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.1847	0.4426	-0.2724	0.2199	-0.3625
3.9000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.2149	0.3698	-0.3067	0.1115	-0.5723
3.9250	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.0584	0.3309	0.0850	1.1670	0.1412
3.9500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.2735	0.1998	0.1682	0.0455	-0.6702
3.9750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.9039	0.2484	0.2123	0.0502	-0.0454
4.0000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.1225	0.8650	-0.2431	-0.0204	-0.2366
4.0250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.3570	0.2872	-0.0276	-0.6754	0.2391
4.0500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.1527	-0.3294	-0.0472	-0.2466	-0.9873
4.0750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.5701	-0.8101	1.0103	-0.1807	-0.1666
4.1000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.3623	-0.0381	-0.1060	-0.2702	0.8639
4.1250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.1705	0.1416	-0.2822	-0.1053	-1.6028
4.1500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.2236	-0.2566	-0.5466	-1.2079	-1.1459
4.1750	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.4225	-0.1934	-0.7816	-0.8168	-0.2039
4.2000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.1971	-0.1789	0.4326	-0.3597	0.7987
4.2250	14.9979	0.0001	0.0000	0.0000	-0.0000	1.6409	-0.4848	0.0262	0.2764	1.4235
4.2500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.8453	0.6999	0.1241	-0.4445	1.2463
4.2750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.8364	0.1804	-0.0276	-0.3267	0.0013
4.3000	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.0229	0.5009	-0.3116	0.4885	0.6541
4.3250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.2468	0.3164	0.2465	0.3518	1.1297
4.3500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.9696	-0.4702	-0.5270	-1.3352	2.9157
4.3750	14.9979	0.0001	0.0000	0.0000	-0.0000	1.0194	-0.6984	-0.1354	-0.4163	-0.3485
4.4000	14.9979	0.0001	0.0000	0.0000	-0.0000	1.1259	-0.1497	0.3102	0.0926	0.6215
4.4250	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.4758	0.2484	-0.1207	-0.1477	0.6914
4.4500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.0462	-0.1643	0.3298	0.4366	0.3044
4.4750	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.6711	0.0202	0.2906	0.5592	0.0899
4.5000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.7885	-0.2420	-0.1794	-0.6660	-1.7381
4.5250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.5079	-0.4216	0.8585	-0.3927	-0.6003
4.5500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.6500	0.0785	-0.1011	0.5592	0.5748
4.5750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.6464	0.6708	-0.4830	-0.2985	0.4256
4.6000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.2326	0.4523	0.4130	0.4979	-0.1619
4.6250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.9075	0.2824	0.4424	0.4272	0.4489
4.6500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.6764	-1.0771	-0.5662	0.3471	-0.5536
4.6750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4014	0.0687	-0.2088	-0.6990	0.2344
4.7000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.2593	0.0250	-0.4193	-0.6189	1.0784
4.7250	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.2982	-0.0429	-0.0766	0.3330	-0.4324
4.7500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.6320	0.8262	0.3689	-0.3833	0.1458
4.7750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.3126	0.3746	-0.3459	0.3660	0.2251
4.8000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.2593	-0.0138	0.1976	-0.0440	-0.1992
4.8250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.3978	-0.2080	0.3102	0.5262	0.1785
4.8500	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.1028	0.4038	-1.0313	-0.3644	0.2158
