time 	x0 	y0 	psi 	u 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm 	mm 	mm 	mm 	
4.3500	3.9989	0.0001	0.0000	0.0000	0.1067	-0.7640	-0.1306	0.3068	-0.7765
4.3750	3.9989	0.0001	0.0000	0.0000	-1.4650	-0.0066	0.3638	0.4387	0.2214
4.4000	3.9989	0.0001	0.0000	0.0000	0.2221	-0.0017	0.3051	-0.3105	-0.1890
4.4250	3.9989	0.0001	0.0000	0.0000	1.9891	-0.0163	-0.2678	0.1890	0.8602
4.4500	3.9989	0.0001	0.0000	0.0000	0.5596	0.6635	0.2365	0.0335	3.9472
4.4750	3.9989	0.0001	0.0000	0.0000	-0.5415	0.0613	0.4471	0.2503	0.3380
4.5000	3.9989	0.0001	0.0000	0.0000	-0.5682	0.0323	0.6869	0.2362	-0.6040
4.5250	3.9989	0.0001	0.0000	0.0000	-0.2130	0.2702	-0.1111	0.0571	0.5198
4.5500	3.9989	0.0001	0.0000	0.0000	-1.7314	0.0323	0.0456	-0.1362	-0.2962
4.5750	3.9989	0.0001	0.0000	0.0000	1.0390	-0.4047	0.0750	0.4293	-0.6786
4.6000	3.9989	0.0001	0.0000	0.0000	1.0302	0.6149	0.2904	0.3303	0.5991
4.6250	3.9989	0.0001	0.0000	0.0000	-0.1419	-0.5843	0.2415	0.6508	0.0955
4.6500	3.9989	0.0001	0.0000	0.0000	-0.2929	0.7023	-0.0719	0.3964	-0.2915
4.6750	3.9989	0.0001	0.0000	0.0000	-1.0209	0.4692	-0.1796	0.6980	1.2146
4.7000	3.9989	0.0001	0.0000	0.0000	-1.0920	0.5178	-0.0817	0.3775	1.3638
4.7250	3.9989	0.0001	0.0000	0.0000	-0.6747	-0.2542	0.2512	0.0100	-0.1423
4.7500	3.9989	0.0001	0.0000	0.0000	1.2433	0.9985	-0.7280	-0.2445	-0.4081
4.7750	3.9989	0.0001	0.0000	0.0000	-0.0087	0.2604	-0.0915	0.2220	0.0349
4.8000	3.9989	0.0001	0.0000	0.0000	0.4974	0.2847	0.2072	0.1419	-0.1377
4.8250	3.9989	0.0001	0.0000	0.0000	-0.3372	-0.5989	-0.1013	-0.4330	0.4406
4.8500	3.9989	0.0001	0.0000	0.0000	-0.1419	-0.3853	0.1582	0.1136	-0.4827
4.8750	3.9989	0.0001	0.0000	0.0000	0.5063	0.2217	-0.3901	0.1372	-1.8630
4.9000	3.9989	0.0001	0.0000	0.0000	-1.3673	1.1441	0.1876	0.3162	-0.5853
4.9250	3.9989	0.0001	0.0000	0.0000	-1.0476	-0.5892	-0.0866	0.7498	-0.1470
4.9500	3.9989	0.0001	0.0000	0.0000	0.4797	-0.0989	-0.5909	0.6980	0.2261
4.9750	3.9989	0.0001	0.0000	0.0000	1.1456	0.0420	-0.3118	-0.0136	-0.1843
5.0000	3.9989	0.0001	0.0000	0.0000	1.3764	0.0662	0.7947	-0.2822	0.0862
5.0250	3.9989	0.0001	0.0000	0.0000	0.3997	0.1051	-0.3510	-0.4471	1.1027
5.0500	3.9989	0.0001	0.0000	0.0000	-1.9267	-0.3901	0.1729	-0.3387	-0.5247
5.0750	3.9989	0.0001	0.0000	0.0000	-1.2519	0.4110	0.0799	0.0100	-0.3289
5.1000	3.9989	0.0001	0.0000	0.0000	1.4120	-0.5261	0.4960	0.5660	-0.3335
5.1250	3.9989	0.0001	0.0000	0.0000	-0.4528	-0.2931	0.0064	-0.1550	-1.1216
