# time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
# s 	m 	m 	deg 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
5.0000	0.0025	-0.0001	0.0000	0.0000	-0.0143	0.0876	-0.0295	-0.1885	0.1600	0.2108	1.6451	0.6338	-0.7665	-0.1836	0.2549	0.3223
5.0500	0.0025	-0.0001	0.0000	0.0000	-0.0280	0.0519	0.0328	-0.1312	0.0753	-0.2709	0.7070	1.4224	-0.4113	0.2923	0.4165	-0.4882
5.1000	0.0025	-0.0001	0.0000	0.0000	-0.0462	0.0504	-0.0573	-0.1464	0.0541	0.1964	0.8866	0.0258	0.6897	-0.0331	-0.3473	0.6380
5.1500	0.0025	-0.0001	0.0000	0.0000	-0.0563	-0.0213	-0.0257	-0.0140	-0.0986	0.0751	0.4272	0.9495	-0.9085	0.1321	-0.2983	0.6003
5.2000	0.0025	-0.0001	0.0000	0.0000	-0.0337	0.0168	0.0410	-0.0672	-0.0002	-0.3566	0.4488	-0.1254	1.3912	-0.2856	0.8767	-0.0500
5.2500	0.0025	-0.0001	0.0000	0.0000	-0.0320	0.0171	-0.0573	-0.0659	0.0020	0.2607	-0.7872	-0.0805	-1.4946	0.4573	0.5340	0.4731
5.3000	0.0025	-0.0001	0.0000	0.0000	0.0377	0.0286	0.0322	-0.0193	0.0947	0.3177	-0.2622	-0.5460	-0.7222	-0.3438	-0.1955	-0.0735
5.3500	0.0025	-0.0001	0.0000	0.0000	0.0166	0.0016	0.0377	0.0134	0.0198	-0.1425	-0.2959	-0.7478	-0.6955	0.0349	0.9110	-0.3280
5.4000	0.0025	-0.0001	0.0000	0.0000	0.0495	0.0331	-0.0579	-0.0164	0.1153	0.1893	1.0539	1.4837	-0.4025	-0.0719	0.1326	-0.5353
5.4500	0.0025	-0.0001	0.0000	0.0000	-0.0678	0.0162	0.0284	-0.1001	-0.0354	-0.1889	-1.1187	-1.0260	1.0005	-0.1982	0.1130	0.0254
