time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	� 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
3.5000	0.0041	-0.0001	0.0100	0.0000	-0.0102	0.0700	-0.0398	-0.1496	0.1291	0.3326	0.6298	1.0702	-1.0651	-0.8376	0.2994	0.3433
3.5500	0.0041	-0.0001	0.0100	0.0000	-0.0368	0.0262	-0.0425	-0.0889	0.0153	0.4788	-1.3129	-0.2571	-0.0262	0.0461	-0.1706	-0.2316
3.6000	0.0041	-0.0001	0.0100	0.0000	-0.0406	-0.0303	-0.0540	0.0198	-0.1010	-0.2026	0.7950	0.5305	-0.3015	0.8084	0.3141	-0.0949
3.6500	0.0041	-0.0001	0.0100	0.0000	0.0121	0.0066	-0.0562	-0.0010	0.0252	0.1435	0.9506	-0.1308	-1.2339	-0.0461	-0.4007	0.8334
3.7000	0.0041	-0.0001	0.0100	0.0000	0.0763	-0.0058	-0.0611	0.0879	0.0648	0.2184	-0.8272	-0.3398	-1.5890	0.1238	0.3337	-0.1232
3.7500	0.0041	-0.0001	0.0100	0.0000	0.0269	-0.0506	-0.0398	0.1276	-0.0738	0.2719	-0.0459	1.2183	0.1070	-0.5511	0.4022	0.2302
3.8000	0.0041	-0.0001	0.0100	0.0000	-0.0251	-0.0279	0.0050	0.0305	-0.0807	-0.1741	-0.3635	0.2584	0.9594	-0.8861	-0.6993	-0.4954
3.8500	0.0041	-0.0001	0.0100	0.0000	0.0591	-0.0249	0.0055	0.1086	0.0097	0.2933	-0.1128	-1.2648	0.9150	-0.0365	0.4218	0.4376
3.9000	0.0041	-0.0001	0.0100	0.0000	-0.0823	0.0039	0.0279	-0.0902	-0.0745	0.1292	-1.0275	-1.6055	-1.2161	0.1238	0.6177	0.1265
3.9500	0.0041	-0.0001	0.0100	0.0000	-0.0689	-0.0481	0.0367	0.0269	-0.1646	0.1328	0.4782	0.7801	-1.7133	-0.2938	0.2357	-0.2835
4.0000	0.0041	-0.0001	0.0100	0.0000	0.0153	-0.0241	0.0399	0.0634	-0.0327	0.2113	0.6094	1.6965	1.2346	-0.4879	0.2504	0.1783
4.0500	0.0041	-0.0001	0.0100	0.0000	-0.0009	-0.0148	0.0421	0.0286	-0.0304	-0.1883	0.9695	0.1127	-0.0440	-0.0412	0.5834	-1.0327
4.1000	0.0041	-0.0001	0.0100	0.0000	0.0542	0.0633	0.0312	-0.0717	0.1801	0.2327	0.7397	0.1668	-0.5590	-0.2258	-0.0825	0.1830
4.1500	0.0041	-0.0001	0.0100	0.0000	-0.0153	-0.0398	0.0301	0.0639	-0.0945	-0.5165	0.5300	1.2526	-0.8343	0.0413	0.5051	0.5695
4.2000	0.0041	-0.0001	0.0100	0.0000	0.0201	0.0108	0.0175	-0.0014	0.0417	-0.2062	-1.6329	-0.3199	-1.1450	-0.6288	0.2946	0.1926
4.2500	0.0041	-0.0001	0.0100	0.0000	-0.0507	-0.0154	0.0006	-0.0201	-0.0813	-0.4345	0.5710	-0.4213	1.2169	-0.3715	-0.1853	-0.4860
4.3000	0.0041	-0.0001	0.0100	0.0000	0.0199	0.0545	0.0175	-0.0885	0.1283	-0.1099	0.3713	-0.0563	-0.4525	0.2743	0.1134	0.0370
4.3500	0.0041	-0.0001	0.0100	0.0000	-0.0513	-0.0023	0.0361	-0.0468	-0.0558	0.7321	-1.0145	-0.3560	-0.0440	0.5026	0.1917	-0.1939
4.4000	0.0041	-0.0001	0.0100	0.0000	-0.0349	0.0504	0.0181	-0.1352	0.0654	-0.0135	0.4741	0.4949	0.3112	-0.4346	0.3386	0.6544
4.4500	0.0041	-0.0001	0.0100	0.0000	0.0106	-0.0297	-0.0010	0.0696	-0.0485	-0.6521	0.6507	-0.3987	-1.6956	-0.7696	0.4120	0.6213
4.5000	0.0041	-0.0001	0.0100	0.0000	0.0740	0.0216	-0.0371	0.0310	0.1169	0.2612	-0.6023	-0.6519	-0.2571	0.0170	-0.3615	-0.4295
